Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [30/May/2025 05:09:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:09:09] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:09:09] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:09:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:09:29] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:09:29] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:10:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:10:02] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:10:02] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:10:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:10:36] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:10:36] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2025 05:10:41] "GET / HTTP/1.1" 304 -
